"filename", "language", "JavaScript", "YAML", "JSON", "Markdown", "Ignore", "Docker", "JSON with Comments", "comment", "blank", "total"
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/src/validations/auth.validation.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 9, 61
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/src/validations/custom.validation.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/src/validations/index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/src/validations/user.validation.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/fixtures/token.fixture.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/fixtures/user.fixture.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/integration/auth.test.js", "JavaScript", 463, 0, 0, 0, 0, 0, 0, 0, 125, 588
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/integration/docs.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/integration/user.test.js", "JavaScript", 517, 0, 0, 0, 0, 0, 0, 0, 109, 626
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/unit/middlewares/error.test.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 32, 169
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/unit/models/plugins/paginate.plugin.test.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 13, 62
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/unit/models/plugins/toJSON.plugin.test.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 1, 9, 90
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/unit/models/user.model.test.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"/Users/ahmad/dev/wb_projects/node_projects/node_examples/node-express-boilerplate-master/tests/utils/setupTestDB.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"Total", "-", 2526, 150, 117, 435, 5, 8, 19, 692, 778, 4730
